Geneid,Control1,Control2,Control3,Disease1,Disease2,Disease3
ENSG00000237354.1,16,13,12,3,15,37
ENSG00000226157.1,16,8,18,5,20,33
ENSG00000203560.3,26,16,19,3,24,56
ENSG00000236897.1,9,12,8,0,7,17
ENSG00000205494.10,14,5,7,2,11,18
ENSG00000290651.1,7,9,12,1,10,17
ENSG00000171944.2,35,27,47,5,50,66
ENSG00000182070.7,65,48,75,19,111,123
ENSG00000176752.6,20,11,16,5,33,28
ENSG00000176748.6,22,20,15,4,23,17
ENSG00000176742.3,15,14,14,7,24,28
ENSG00000224091.3,10,15,14,1,15,11
ENSG00000285498.1,10,7,10,4,14,34
ENSG00000221031.1,0,0,0,0,0,0
ENSG00000244734.4,790,141,160,115,258,1051
ENSG00000223609.11,14,23,30,10,39,50
ENSG00000290652.1,12,5,12,2,10,11
ENSG00000229988.3,0,0,0,0,0,0
ENSG00000260629.2,36,22,10,7,38,33
ENSG00000213934.9,7,3,4,0,3,5
ENSG00000284931.1,0,0,0,0,0,0
ENSG00000196565.15,12,13,3,2,19,19
ENSG00000239920.2,40,23,35,11,40,56
ENSG00000213931.7,24,27,18,12,26,48
ENSG00000229093.1,9,5,12,4,6,20
ENSG00000183251.4,18,15,21,4,23,38
ENSG00000167355.8,20,9,17,7,13,36
ENSG00000223735.1,17,13,11,2,25,30
ENSG00000279012.2,12,16,10,13,12,45
ENSG00000236359.1,7,8,16,10,29,22
ENSG00000176239.7,21,13,22,21,29,45
ENSG00000230087.1,21,18,16,8,21,29
ENSG00000236248.1,8,2,4,0,5,4
ENSG00000184698.5,64,46,66,22,88,134
ENSG00000184321.1,20,20,14,10,30,35
ENSG00000167360.6,26,11,17,9,33,43
ENSG00000248424.1,30,15,22,14,31,37
ENSG00000167359.8,26,26,37,9,31,51
ENSG00000187918.6,40,36,53,21,71,91
ENSG00000230484.2,26,24,18,8,27,38
ENSG00000181609.5,16,24,18,10,18,39
ENSG00000175520.9,100,70,82,37,123,163
ENSG00000175518.8,63,65,68,27,83,119
ENSG00000224295.3,48,55,70,35,78,108
ENSG00000249633.1,37,27,42,17,45,64
ENSG00000181616.10,19,20,23,17,27,48
ENSG00000248553.1,16,14,8,9,27,46
ENSG00000290653.1,34,32,27,12,62,73
ENSG00000231049.3,0,0,0,0,0,0
ENSG00000233646.1,14,15,11,4,13,26
ENSG00000229534.1,32,13,25,8,24,46
ENSG00000187747.2,26,13,29,16,33,45
ENSG00000121236.21,75,37,51,29,67,87
ENSG00000258588.3,0,0,0,0,0,0
ENSG00000258659.7,11,2,13,4,6,9
ENSG00000132256.20,93,85,84,48,113,142
ENSG00000132274.17,118,139,215,53,188,213
ENSG00000232381.1,14,18,21,5,26,45
ENSG00000181109.3,33,22,31,15,37,44
ENSG00000181023.8,15,20,26,8,23,56
ENSG00000181074.5,17,16,24,6,25,32
ENSG00000181017.7,7,50,2,10,77,93
ENSG00000181009.5,0,30,0,4,48,79
ENSG00000181001.3,16,23,18,18,34,62
ENSG00000236965.4,15,10,10,6,18,43
ENSG00000180988.3,25,22,20,18,51,74
ENSG00000205409.3,11,13,18,10,29,31
ENSG00000183269.6,16,11,19,5,24,20
ENSG00000233563.1,12,10,16,4,15,25
ENSG00000180974.5,49,42,36,17,57,81
ENSG00000277932.2,33,37,56,17,64,82
ENSG00000277514.1,11,11,13,4,18,32
ENSG00000184478.8,57,49,58,34,80,129
ENSG00000188691.6,16,17,11,2,22,40
ENSG00000183313.4,16,25,33,10,42,50
ENSG00000254831.1,27,16,28,15,45,48
ENSG00000183389.5,61,38,91,19,76,88
ENSG00000202147.1,4,1,2,0,10,8
ENSG00000180934.7,136,99,136,55,189,262
ENSG00000289150.1,20,9,13,2,14,11
ENSG00000255481.2,21,14,23,9,21,37
ENSG00000262980.2,33,31,28,17,31,52
ENSG00000234895.1,13,15,18,8,33,48
ENSG00000180919.3,24,8,22,1,19,17
ENSG00000254444.1,11,15,9,5,7,12
ENSG00000180913.3,18,18,14,9,26,48
ENSG00000180909.2,22,15,22,8,37,40
ENSG00000255307.2,16,13,21,9,27,42
ENSG00000175485.3,35,32,35,20,50,61
ENSG00000267940.1,21,12,14,12,38,34
ENSG00000180878.3,73,55,61,30,73,118
ENSG00000051009.11,227,177,208,129,276,385
ENSG00000132259.13,87,94,78,42,139,210
ENSG00000110148.10,102,84,106,51,144,223
ENSG00000270435.1,35,15,22,8,15,42
ENSG00000170955.10,52,50,57,20,78,81
ENSG00000282556.5,76,61,62,28,103,145
ENSG00000254443.1,67,63,75,41,88,111
ENSG00000166311.10,277,170,213,88,179,276
ENSG00000166313.20,416,355,357,151,366,472
ENSG00000110169.12,90,78,65,50,130,170
ENSG00000110171.21,285,199,244,106,282,366
ENSG00000132254.13,165,126,140,70,188,252
ENSG00000283977.1,0,0,0,0,0,0
ENSG00000132286.12,161,109,159,50,143,189
ENSG00000254595.1,56,39,66,14,46,95
ENSG00000179532.13,798,576,748,371,942,1415
ENSG00000132275.11,244,180,207,78,260,353
ENSG00000254400.1,2,9,8,1,7,7
ENSG00000166333.14,35,16,24,11,32,49
ENSG00000166337.11,74,67,98,39,117,139
ENSG00000254641.1,0,0,0,0,0,0
ENSG00000285338.1,6,3,2,2,4,4
ENSG00000166340.18,193,144,178,103,244,247
ENSG00000255680.1,5,8,2,6,1,6
ENSG00000166341.9,484,392,523,268,685,843
ENSG00000255390.1,0,0,0,0,0,0
ENSG00000255410.2,32,16,20,8,23,38
ENSG00000158042.9,137,115,144,50,122,178
ENSG00000241678.1,5,13,11,4,16,15
ENSG00000291143.1,20,15,15,1,22,35
ENSG00000254838.8,0,0,0,0,0,0
ENSG00000254781.1,35,14,41,10,34,45
ENSG00000188124.4,47,41,53,19,67,123
ENSG00000279486.6,100,91,96,42,135,178
ENSG00000184933.6,48,42,57,29,79,99
ENSG00000283415.2,86,73,76,25,104,136
ENSG00000254712.1,6,6,15,5,13,31
ENSG00000166363.6,20,13,16,11,23,36
ENSG00000170790.6,74,60,92,25,108,130
ENSG00000170782.3,15,18,13,6,12,52
ENSG00000166368.3,18,22,17,8,25,37
ENSG00000178358.5,16,10,16,13,20,22
ENSG00000149054.16,64,51,64,17,79,116
ENSG00000149050.10,58,46,63,18,109,113
ENSG00000158077.5,85,51,81,34,140,177
ENSG00000170748.7,57,33,53,24,67,82
ENSG00000255179.1,5,6,12,0,9,12
ENSG00000221703.1,5,3,2,0,4,8
ENSG00000170743.17,93,120,119,42,170,226
ENSG00000251364.9,234,206,245,101,246,412
ENSG00000183801.8,86,92,80,30,124,151
ENSG00000166387.14,534,473,531,226,656,789
ENSG00000254864.1,29,18,22,11,26,41
ENSG00000166394.15,178,122,171,64,220,286
ENSG00000183378.13,107,94,106,38,128,197
ENSG00000275612.1,6,1,9,2,3,13
ENSG00000276668.1,13,7,6,7,24,23
ENSG00000271758.2,0,0,0,0,3,1
ENSG00000254707.1,14,6,21,4,12,24
ENSG00000290809.1,16,9,15,9,24,27
ENSG00000176716.6,0,0,0,0,0,0
ENSG00000227892.1,14,13,12,3,18,30
ENSG00000254951.7,37,21,29,13,62,71
ENSG00000166408.4,18,18,13,6,22,30
ENSG00000241008.1,14,9,13,7,36,13
ENSG00000183303.3,5,16,16,5,23,9
ENSG00000182334.3,29,11,30,7,28,37
ENSG00000170688.4,12,19,16,1,18,34
ENSG00000252769.1,2,1,4,1,3,4
ENSG00000279000.4,52,52,52,14,106,112
ENSG00000170683.7,52,27,46,15,66,70
ENSG00000289714.1,6,4,7,1,5,9
ENSG00000182261.5,66,50,73,38,101,151
ENSG00000175390.15,853,824,868,189,629,746
ENSG00000254642.1,4,4,5,0,7,8
ENSG00000255420.2,33,24,22,15,34,73
ENSG00000166402.9,322,246,293,124,369,563
ENSG00000254921.2,40,31,37,32,49,61
ENSG00000248332.6,65,44,73,21,91,127
ENSG00000279391.1,44,39,45,23,58,70
ENSG00000166405.16,218,135,177,64,202,303
ENSG00000246820.2,83,56,95,33,131,167
ENSG00000166407.14,128,126,137,62,156,180
ENSG00000130413.16,119,104,132,50,158,161
ENSG00000252778.1,1,5,8,0,6,13
ENSG00000166436.18,518,390,454,188,545,835
ENSG00000254900.1,22,21,23,8,20,49
ENSG00000166441.13,1488,1292,1294,213,1056,828
ENSG00000200983.1,1,0,0,0,1,1
ENSG00000212607.1,8,3,3,1,2,2
ENSG00000166444.19,414,364,401,170,483,645
ENSG00000254665.1,0,0,0,0,0,0
ENSG00000255159.1,35,39,64,15,47,63
ENSG00000252905.1,6,4,2,3,10,3
ENSG00000202276.1,3,5,3,0,2,2
ENSG00000166452.12,97,105,128,34,85,159
ENSG00000176029.14,92,63,64,35,125,154
ENSG00000176009.4,20,13,18,9,31,41
ENSG00000223080.1,0,0,3,0,2,1
ENSG00000175348.11,213,150,215,52,149,172
ENSG00000254860.7,70,90,85,25,121,129
ENSG00000175352.12,114,110,120,29,152,186
ENSG00000253973.3,89,73,61,25,92,150
ENSG00000175356.14,206,186,217,84,248,380
ENSG00000286935.1,35,29,22,20,29,53
ENSG00000264984.1,0,0,0,0,0,0
ENSG00000213538.5,76,33,43,30,58,107
ENSG00000184014.9,500,341,495,131,444,541
ENSG00000255097.1,14,8,11,0,11,16
ENSG00000273725.1,0,0,0,0,0,1
ENSG00000166471.11,158,142,154,45,112,210
ENSG00000254884.1,20,13,8,9,22,32
ENSG00000205339.10,1931,1663,1847,387,1122,1342
ENSG00000201998.1,5,13,20,12,20,25
ENSG00000254397.1,7,3,11,4,13,16
ENSG00000268403.3,42,39,35,9,32,34
ENSG00000166478.10,229,159,169,59,174,245
ENSG00000166483.12,162,162,146,52,237,254
ENSG00000238387.1,3,3,3,3,1,7
ENSG00000243964.1,12,8,10,3,8,17
ENSG00000289518.1,20,20,18,14,31,30
ENSG00000255463.1,11,6,13,4,10,18
ENSG00000239470.3,5,9,10,2,16,11
ENSG00000133789.15,278,233,290,91,343,291
ENSG00000201564.1,14,7,12,1,20,18
ENSG00000245522.2,66,69,84,38,87,159
ENSG00000246273.9,91,81,99,38,114,147
ENSG00000133812.18,587,405,553,189,619,717
ENSG00000255476.1,14,16,11,1,15,23
ENSG00000252568.1,0,1,2,1,2,2
ENSG00000254765.1,27,37,31,14,45,58
ENSG00000286561.1,19,18,23,8,37,33
ENSG00000254865.1,24,29,25,5,16,35
ENSG00000254719.1,3,4,7,3,13,20
ENSG00000254554.1,33,16,25,19,44,64
ENSG00000148926.10,128,110,113,62,171,180
ENSG00000133805.16,566,340,384,188,738,794
ENSG00000221574.1,1,3,10,1,7,12
ENSG00000283813.1,1,0,0,1,4,3
ENSG00000110315.7,528,312,328,89,289,279
ENSG00000177112.9,60,59,63,19,87,129
ENSG00000133800.9,146,131,168,33,175,174
ENSG00000072952.21,373,308,367,177,479,651
ENSG00000206858.1,8,1,8,4,8,13
ENSG00000198730.9,463,298,455,97,307,370
ENSG00000110321.19,3157,2159,3239,762,2056,1952
ENSG00000238622.1,17,16,32,4,22,20
ENSG00000246308.4,71,55,66,19,112,114
ENSG00000236287.8,280,231,349,97,239,363
ENSG00000247271.9,136,91,164,45,138,157
ENSG00000250041.3,217,151,220,46,163,218
ENSG00000289919.1,16,15,13,8,21,38
ENSG00000254401.2,54,35,46,20,54,77
ENSG00000254957.1,24,19,24,6,23,37
ENSG00000289976.1,28,28,36,18,42,58
ENSG00000270897.1,2,4,4,4,3,13
ENSG00000255123.1,14,7,13,4,6,19
ENSG00000255260.1,12,9,8,8,17,30
ENSG00000110328.6,201,145,172,89,213,273
ENSG00000254598.3,38,31,43,14,33,46
ENSG00000255351.1,3,1,0,2,3,5
ENSG00000255462.1,22,22,18,13,24,65
ENSG00000266645.1,3,4,11,4,9,8
ENSG00000280288.1,32,31,35,12,61,56
ENSG00000255309.1,11,8,12,12,22,31
ENSG00000286959.1,36,33,39,20,68,71
ENSG00000278529.1,0,0,0,0,0,0
ENSG00000170242.19,1360,1112,1504,294,872,1090
ENSG00000255492.1,5,8,12,3,10,17
ENSG00000050165.19,238,206,207,102,350,374
ENSG00000254486.1,70,64,63,29,112,124
ENSG00000254991.1,30,21,24,12,24,54
ENSG00000255400.1,20,13,19,5,27,39
ENSG00000133816.19,507,461,560,244,672,973
ENSG00000275373.1,5,8,12,5,11,11
ENSG00000254680.1,0,0,0,0,0,0
ENSG00000254983.1,10,7,12,1,15,9
ENSG00000197702.14,424,305,423,134,539,579
ENSG00000254847.1,27,17,24,2,32,41
ENSG00000286521.1,18,19,15,9,14,32
ENSG00000187079.20,2205,1415,2316,486,1649,1705
ENSG00000254688.1,45,21,41,11,40,73
ENSG00000255067.1,9,5,17,2,7,21
ENSG00000252329.1,8,1,6,1,4,12
ENSG00000203258.3,9,11,12,4,18,22
ENSG00000251381.8,163,115,121,41,174,271
ENSG00000254670.1,35,23,26,16,45,52
ENSG00000189431.8,106,71,97,45,120,153
ENSG00000255558.1,16,15,15,8,28,42
ENSG00000255018.1,3,13,5,4,6,22
ENSG00000290083.1,26,21,24,12,22,56
ENSG00000133794.20,292,158,186,97,274,342
ENSG00000222162.1,20,17,22,12,33,37
ENSG00000148925.11,203,125,192,50,138,155
ENSG00000287548.1,28,21,23,17,33,55
ENSG00000254583.1,13,5,15,8,10,32
ENSG00000255401.1,15,6,5,4,9,23
ENSG00000152266.7,9,13,6,4,17,12
ENSG00000228901.3,8,1,7,0,5,21
ENSG00000197601.14,289,220,376,104,288,379
ENSG00000254791.1,36,25,31,11,30,50
ENSG00000240454.1,4,2,6,1,8,11
ENSG00000200685.1,4,4,0,1,1,6
ENSG00000255075.1,21,18,24,11,33,36
ENSG00000255088.1,13,8,2,1,11,17
ENSG00000255411.3,57,54,48,14,66,96
ENSG00000254927.1,27,12,16,12,33,35
ENSG00000254930.1,18,8,10,4,21,24
ENSG00000201856.1,3,5,4,1,4,12
ENSG00000254438.1,13,17,17,4,31,31
ENSG00000262655.4,240,176,236,103,282,409
ENSG00000212365.1,6,7,6,2,19,18
ENSG00000254418.1,10,3,3,0,4,21
ENSG00000133818.14,233,145,197,52,195,238
ENSG00000255074.1,23,24,27,5,30,26
ENSG00000129083.13,394,242,379,79,317,321
ENSG00000251991.1,16,7,7,2,3,10
ENSG00000256206.2,0,0,0,0,0,0
ENSG00000129084.18,92,87,101,29,79,112
ENSG00000152270.9,153,110,126,39,174,241
ENSG00000255040.1,14,7,23,13,25,44
ENSG00000186104.11,105,82,148,37,113,182
ENSG00000175868.14,102,82,110,39,149,186
ENSG00000253179.1,19,20,19,8,18,37
ENSG00000110680.14,64,60,62,31,82,124
ENSG00000250640.2,14,9,23,10,24,30
ENSG00000188487.12,154,125,159,75,228,292
ENSG00000253072.1,1,1,4,0,2,10
ENSG00000254946.2,38,33,34,12,51,84
ENSG00000254789.4,33,29,25,9,47,54
ENSG00000254695.2,35,24,51,22,46,58
ENSG00000254645.2,65,49,51,30,98,121
ENSG00000286960.1,42,48,51,28,78,106
ENSG00000289116.1,21,17,28,11,37,35
ENSG00000254661.3,93,79,91,43,114,198
ENSG00000110693.19,599,378,757,173,495,562
ENSG00000284094.1,0,0,0,0,0,0
ENSG00000254878.1,17,7,10,1,14,16
ENSG00000213785.3,40,23,30,9,47,36
ENSG00000241943.2,12,11,13,2,16,11
ENSG00000110696.10,701,473,646,134,415,464
ENSG00000166689.18,393,293,320,152,439,644
ENSG00000199883.1,12,11,12,3,23,29
ENSG00000244398.1,213,64,132,15,388,42
ENSG00000290957.1,23,19,26,6,34,50
ENSG00000184669.11,4,3,3,1,6,12
ENSG00000110700.7,874,862,1019,230,668,782
ENSG00000272034.1,11,5,2,4,9,15
ENSG00000201403.1,6,3,10,4,5,11
ENSG00000011405.14,415,322,476,141,428,532
ENSG00000201586.1,6,1,7,1,1,6
ENSG00000240808.1,9,8,12,1,13,14
ENSG00000213779.4,13,15,28,10,9,24
ENSG00000070081.18,149,116,223,38,159,140
ENSG00000197149.5,27,38,32,17,39,62
ENSG00000285545.1,23,14,19,8,36,38
ENSG00000188211.9,219,132,194,95,254,305
ENSG00000187486.7,594,355,557,148,287,443
ENSG00000260196.1,85,73,86,20,89,107
ENSG00000006071.16,407,353,412,222,545,852
ENSG00000255035.2,17,9,15,10,10,35
ENSG00000287898.1,21,15,21,3,18,34
ENSG00000006611.17,316,270,321,159,420,596
ENSG00000188162.12,796,675,672,402,1002,1378
ENSG00000254586.2,21,22,31,17,31,58
ENSG00000255335.2,24,20,23,11,23,45
ENSG00000129152.4,144,127,216,58,172,226
ENSG00000129159.9,432,335,381,168,558,692
ENSG00000129158.11,106,84,95,41,117,155
ENSG00000255448.1,0,0,0,0,0,0
ENSG00000129167.10,57,53,79,26,93,159
ENSG00000166788.10,113,87,99,26,98,159
ENSG00000255254.1,9,4,9,2,14,12
ENSG00000290741.1,15,8,2,2,12,20
ENSG00000166787.4,0,0,2,0,0,1
ENSG00000179826.8,40,43,38,24,52,71
ENSG00000255470.1,12,9,13,7,20,28
ENSG00000285562.1,35,31,36,12,53,89
ENSG00000254857.1,23,10,31,8,33,50
ENSG00000179817.5,38,37,43,19,67,79
ENSG00000255138.1,14,11,3,2,14,16
ENSG00000254546.1,11,8,9,4,14,24
ENSG00000290742.1,41,29,31,16,52,69
ENSG00000189332.6,0,0,0,0,0,0
ENSG00000148965.10,6,7,9,5,7,15
ENSG00000255071.3,0,0,0,0,0,0
ENSG00000134339.9,39,34,48,91,69,78
ENSG00000200336.1,3,1,1,2,2,12
ENSG00000212789.4,19,16,41,13,46,45
ENSG00000173432.13,78,37,41,167,75,118
ENSG00000201695.1,14,7,5,4,23,15
ENSG00000110756.18,243,207,233,86,240,353
ENSG00000110768.12,188,155,213,65,204,294
ENSG00000264603.1,2,2,6,2,2,2
ENSG00000134333.15,1886,2804,12161,1194,2504,2521
ENSG00000256006.1,6,9,11,3,4,5
ENSG00000166796.12,83,39,64,15,86,97
ENSG00000256734.1,16,21,20,10,19,44
ENSG00000166800.11,90,63,106,33,118,157
ENSG00000074319.13,279,200,283,57,213,220
ENSG00000256464.1,25,20,20,8,22,30
ENSG00000256588.1,11,9,10,4,14,23
ENSG00000256361.1,16,12,17,5,20,36
ENSG00000289499.2,19,17,20,7,19,35
ENSG00000151116.17,213,125,202,56,183,226
ENSG00000274589.1,0,0,0,0,0,1
ENSG00000247595.5,50,33,34,9,44,54
ENSG00000256282.2,60,73,62,37,93,108
ENSG00000279837.1,16,4,9,3,19,25
ENSG00000179119.15,194,146,222,73,271,231
ENSG00000257043.1,19,13,9,3,10,18
ENSG00000151117.9,128,84,113,56,143,196
ENSG00000179057.14,250,224,213,150,308,439
ENSG00000254966.1,17,27,19,10,20,49
ENSG00000110786.18,303,233,251,126,353,498
ENSG00000286998.1,60,45,53,17,71,68
ENSG00000276789.1,16,13,23,13,28,42
ENSG00000254529.1,15,23,25,7,22,33
ENSG00000255511.1,32,33,39,15,36,83
ENSG00000254541.1,22,21,30,11,39,45
ENSG00000255536.1,32,25,29,26,38,62
ENSG00000170255.8,44,47,51,16,42,108
ENSG00000255244.1,17,6,17,4,15,28
ENSG00000254738.1,24,26,41,9,41,50
ENSG00000254720.1,23,18,34,19,43,58
ENSG00000255424.1,22,15,9,9,30,36
ENSG00000183695.3,43,30,49,19,60,82
ENSG00000177054.14,77,76,89,23,119,165
ENSG00000129170.10,1672,2831,2577,710,2527,4270
ENSG00000255308.1,21,24,34,13,35,34
ENSG00000129173.13,200,231,246,56,243,295
ENSG00000254544.1,12,19,22,11,22,21
ENSG00000255160.5,28,22,36,15,36,45
ENSG00000166833.23,548,502,546,207,663,907
ENSG00000255270.1,10,14,17,1,21,24
ENSG00000200687.1,15,16,16,3,18,26
ENSG00000255043.1,75,65,68,31,115,138
ENSG00000254622.1,37,37,49,15,52,87
ENSG00000265210.1,3,3,6,2,5,16
ENSG00000207407.1,4,5,7,2,8,8
ENSG00000270607.1,45,35,44,16,62,77
ENSG00000264309.1,6,12,16,1,14,7
ENSG00000254542.1,15,8,19,11,21,31
ENSG00000254453.2,25,9,23,12,19,32
ENSG00000254894.1,0,0,0,0,0,0
ENSG00000279266.1,72,52,84,33,106,128
ENSG00000109851.7,53,73,77,31,110,138
ENSG00000109854.14,125,92,113,15,84,132
ENSG00000185238.13,170,114,131,48,131,154
ENSG00000255291.2,15,12,13,7,12,16
ENSG00000286382.1,16,10,13,10,16,30
ENSG00000165970.12,222,143,181,71,224,353
ENSG00000165973.19,115,104,115,41,152,246
ENSG00000254906.1,13,22,29,11,33,26
ENSG00000201059.1,11,11,12,3,10,14
ENSG00000254816.1,10,10,8,2,15,24
ENSG00000255167.1,8,8,7,7,21,29
ENSG00000225477.3,22,26,24,17,33,47
ENSG00000252816.1,6,1,2,1,5,5
ENSG00000289944.1,29,22,42,6,23,41
ENSG00000171714.13,2341,1346,1943,339,779,1072
ENSG00000287962.1,34,26,29,7,44,62
ENSG00000254820.1,20,7,6,4,20,28
ENSG00000255372.1,18,20,32,5,16,13
ENSG00000254768.6,34,21,30,10,36,46
ENSG00000091664.9,95,67,97,34,107,164
ENSG00000254540.1,3,5,9,2,6,8
ENSG00000255323.6,16,21,27,7,31,40
ENSG00000255357.2,24,14,17,5,22,32
ENSG00000183161.6,56,37,70,17,69,90
ENSG00000148935.12,147,125,161,38,104,156
ENSG00000222427.1,3,2,1,0,6,4
ENSG00000198168.9,127,70,116,26,95,114
ENSG00000246225.7,65,59,57,18,71,110
ENSG00000255359.3,15,11,8,3,13,31
ENSG00000255418.6,46,44,57,25,46,76
ENSG00000271491.1,11,7,19,3,15,25
ENSG00000255293.1,113,66,97,37,107,149
ENSG00000275868.1,6,7,12,1,15,8
ENSG00000254564.1,0,1,1,0,1,0
ENSG00000254465.1,39,19,44,9,55,58
ENSG00000240881.1,14,11,16,10,31,50
ENSG00000255193.1,26,16,24,5,30,48
ENSG00000254861.2,8,7,12,2,27,19
ENSG00000252519.1,1,2,1,0,2,6
ENSG00000277803.1,12,10,14,1,13,30
ENSG00000254594.5,12,11,13,2,25,29
ENSG00000207252.1,2,6,7,0,6,5
ENSG00000187398.12,54,40,59,25,87,112
ENSG00000255489.1,5,4,12,6,6,18
ENSG00000255368.1,9,12,6,8,15,20
ENSG00000240298.3,5,5,4,0,3,9
ENSG00000255454.1,6,2,3,5,11,9
ENSG00000254456.6,45,29,40,12,59,69
ENSG00000254754.1,9,12,8,2,11,16
ENSG00000255086.1,13,5,17,4,15,26
ENSG00000134343.14,151,120,150,42,159,269
ENSG00000287227.1,22,24,33,8,41,42
ENSG00000254819.2,29,30,25,12,43,52
ENSG00000255505.1,10,4,10,5,10,18
ENSG00000169550.14,34,35,30,9,60,66
ENSG00000148942.15,134,68,140,40,182,205
ENSG00000176971.4,127,72,91,27,95,122
ENSG00000129151.9,45,34,41,13,70,87
ENSG00000254560.6,46,40,36,18,67,63
ENSG00000109881.17,58,32,43,16,55,73
ENSG00000205213.14,274,234,321,87,235,237
ENSG00000254862.5,53,43,59,21,51,91
ENSG00000242527.1,12,9,10,6,13,22
ENSG00000148943.12,233,171,311,63,185,209
ENSG00000245573.9,135,173,134,49,182,232
ENSG00000278483.1,0,0,0,0,0,0
ENSG00000212289.1,9,9,19,3,15,13
ENSG00000240036.4,23,12,22,1,14,19
ENSG00000254934.5,45,29,53,14,68,72
ENSG00000176697.20,162,165,183,57,237,325
ENSG00000255496.1,3,11,5,5,7,17
ENSG00000177447.6,5,8,8,6,9,13
ENSG00000224411.3,161,68,84,17,69,112
ENSG00000255094.1,31,12,26,12,24,51
ENSG00000121621.7,45,32,65,16,61,112
ENSG00000207874.1,7,4,5,2,3,7
ENSG00000169519.21,141,133,175,40,161,187
ENSG00000271332.1,8,3,4,1,11,20
ENSG00000222385.1,6,3,2,2,11,14
ENSG00000238149.1,3,10,15,6,10,7
ENSG00000273912.1,7,7,7,1,8,5
ENSG00000254606.1,29,16,16,9,17,52
ENSG00000248990.1,10,5,9,4,18,23
ENSG00000249867.6,45,46,45,26,69,94
ENSG00000272882.1,0,8,16,3,10,14
ENSG00000254526.1,16,27,21,4,14,37
ENSG00000255450.1,15,19,29,13,29,29
ENSG00000254530.2,45,33,66,11,45,73
ENSG00000255281.1,30,33,37,18,48,79
ENSG00000255227.1,46,25,18,15,33,57
ENSG00000255029.2,20,27,29,9,28,48
ENSG00000255117.6,43,23,48,16,49,78
ENSG00000255047.1,9,15,14,4,16,29
ENSG00000254734.1,21,9,16,9,25,39
ENSG00000243505.3,6,5,8,3,5,17
ENSG00000240554.1,15,14,15,9,15,24
ENSG00000261340.1,29,12,25,6,35,42
ENSG00000182255.7,94,69,73,34,111,171
ENSG00000254532.2,36,25,34,11,45,78
ENSG00000255288.1,6,6,6,1,7,11
ENSG00000131808.11,33,26,30,8,38,41
ENSG00000152219.5,175,148,210,42,118,144
ENSG00000242353.1,5,11,10,3,12,23
ENSG00000066382.17,170,178,212,59,225,277
ENSG00000255480.1,6,10,11,4,11,26
ENSG00000254489.4,47,52,61,20,54,116
ENSG00000287373.1,59,52,88,23,79,125
ENSG00000170959.15,202,160,195,56,213,384
ENSG00000255370.1,7,2,8,1,5,6
ENSG00000255525.1,9,8,9,1,18,14
ENSG00000170946.15,111,79,124,24,96,96
ENSG00000148950.11,65,41,62,15,43,55
ENSG00000109911.19,204,158,241,69,218,331
ENSG00000228061.7,98,63,94,25,101,160
ENSG00000007372.25,241,203,199,100,298,382
ENSG00000281880.2,97,88,114,47,132,184
ENSG00000285283.1,0,0,0,0,0,0
ENSG00000254584.2,33,31,16,6,48,48
ENSG00000254836.1,15,8,11,6,19,16
ENSG00000254627.1,17,14,12,17,13,33
ENSG00000212551.2,5,7,4,2,5,6
ENSG00000255490.1,20,11,7,5,18,14
ENSG00000049449.10,64,66,76,19,80,78
ENSG00000255252.3,0,0,0,0,0,0
ENSG00000227160.3,27,24,26,7,36,73
ENSG00000255375.3,31,28,30,12,35,74
ENSG00000184937.16,125,126,158,71,224,289
ENSG00000183242.13,123,117,127,56,145,252
ENSG00000278822.1,0,0,0,0,0,0
ENSG00000273677.1,12,9,8,7,17,17
ENSG00000278045.1,9,9,11,2,11,23
ENSG00000276530.1,0,0,0,0,0,0
ENSG00000273908.1,0,0,0,0,0,0
ENSG00000277119.1,0,0,0,0,0,0
ENSG00000149100.13,479,334,445,83,302,333
ENSG00000270903.1,31,20,22,7,17,32
ENSG00000186714.13,68,62,71,31,89,129
ENSG00000244535.1,8,3,5,0,8,11
ENSG00000135378.4,75,66,69,17,87,106
ENSG00000060749.17,455,350,542,131,530,538
ENSG00000200615.1,1,0,1,1,0,5
ENSG00000121690.11,64,67,80,23,110,119
ENSG00000176148.16,163,109,153,56,183,202
ENSG00000213713.3,14,18,20,7,44,33
ENSG00000280798.1,82,53,98,13,85,97
ENSG00000176102.13,160,115,154,42,164,182
ENSG00000247151.7,47,34,33,14,35,62
ENSG00000206808.1,6,5,3,3,5,14
ENSG00000241950.1,0,0,0,0,0,0
ENSG00000200485.1,4,3,8,1,5,5
ENSG00000241255.1,3,5,10,1,9,9
ENSG00000110422.12,3037,2245,3335,778,2130,2234
ENSG00000110427.17,347,289,300,145,500,675
ENSG00000254537.1,19,17,14,8,19,27
ENSG00000255207.1,18,11,15,2,18,23
ENSG00000255202.1,33,21,29,9,38,59
ENSG00000205177.7,50,43,48,11,58,51
ENSG00000284969.1,0,0,0,0,0,0
ENSG00000085063.18,2361,1693,2148,614,1276,1543
ENSG00000110429.14,851,554,611,126,521,719
ENSG00000254508.5,16,16,14,6,16,17
ENSG00000255272.1,17,14,18,9,21,37
ENSG00000255161.1,5,5,3,3,13,15
ENSG00000255169.1,19,6,21,1,18,11
ENSG00000254619.1,12,4,13,7,18,24
ENSG00000255133.2,44,34,32,13,41,52
ENSG00000135363.12,164,127,183,58,121,197
ENSG00000184566.3,24,22,20,9,39,35
