Geneid,Control1,Control2,Control3,Disease1,Disease2,Disease3
ENSG00000225126.1,29,14,8,10,19,37
ENSG00000270171.1,43,58,35,26,80,114
ENSG00000270035.1,31,24,26,10,42,48
ENSG00000269978.1,11,10,4,2,6,30
ENSG00000049245.13,374,328,418,92,300,401
ENSG00000269925.1,7,9,15,3,11,26
ENSG00000049246.15,286,401,605,133,308,519
ENSG00000236266.1,13,13,31,8,18,26
ENSG00000049247.14,25,17,24,11,21,55
ENSG00000049249.10,138,106,116,28,145,195
ENSG00000270330.1,19,21,18,14,32,48
ENSG00000116288.13,1188,912,1152,142,579,597
ENSG00000200344.1,9,5,5,4,13,13
ENSG00000284747.1,85,91,82,34,135,139
ENSG00000284716.1,12,12,9,2,15,12
ENSG00000116285.13,191,114,145,61,193,247
ENSG00000238290.1,76,57,68,22,56,117
ENSG00000232848.1,39,26,27,19,47,38
ENSG00000229305.1,34,39,43,13,50,52
ENSG00000288816.1,23,14,21,4,31,45
ENSG00000227634.3,43,46,63,22,70,95
ENSG00000200975.1,12,1,4,1,10,9
ENSG00000233645.1,16,19,36,9,36,46
ENSG00000251977.1,9,2,3,4,15,13
ENSG00000162426.16,156,132,121,53,174,291
ENSG00000252254.1,3,5,2,1,7,7
ENSG00000142599.20,2136,940,1234,405,1194,1322
ENSG00000232912.6,41,39,47,18,42,74
ENSG00000221083.1,4,6,6,1,4,6
ENSG00000270282.1,7,16,8,10,5,17
ENSG00000234619.1,25,15,13,5,33,24
ENSG00000224315.2,43,30,28,8,26,65
ENSG00000222511.2,5,2,1,0,4,4
ENSG00000226545.1,14,11,14,6,24,14
ENSG00000228423.2,19,24,13,9,21,30
ENSG00000229716.2,9,15,16,3,20,14
ENSG00000074800.16,481,351,519,189,336,641
ENSG00000274258.1,8,3,0,3,6,5
ENSG00000230679.1,21,19,22,11,22,28
ENSG00000201725.1,2,3,0,1,3,0
ENSG00000238249.2,21,14,15,9,14,23
ENSG00000232208.2,10,11,5,1,16,20
ENSG00000232663.2,17,13,11,4,27,18
ENSG00000131686.15,103,98,90,40,112,186
ENSG00000290109.1,14,13,14,3,19,23
ENSG00000265141.2,22,28,10,1,19,12
ENSG00000197241.4,150,166,143,78,187,263
ENSG00000142583.18,281,355,470,204,533,507
ENSG00000252404.1,6,7,3,4,6,11
ENSG00000180758.12,299,220,379,110,239,292
ENSG00000228526.8,221,192,199,106,256,393
ENSG00000284357.1,0,0,0,0,0,0
ENSG00000289914.1,14,15,32,10,29,37
ENSG00000234546.5,37,40,55,26,52,104
ENSG00000049239.13,827,568,726,279,690,874
ENSG00000171621.14,174,165,174,88,164,279
ENSG00000284652.1,58,36,55,19,39,74
ENSG00000284693.2,83,63,84,29,95,173
ENSG00000252956.1,5,8,4,2,13,21
ENSG00000235263.1,56,40,24,11,52,48
ENSG00000171612.7,148,118,117,41,144,160
ENSG00000231181.1,23,8,22,12,26,40
ENSG00000188807.13,554,371,408,213,474,716
ENSG00000171608.18,328,312,291,179,415,621
ENSG00000179840.5,47,45,55,36,62,106
ENSG00000233268.3,19,18,21,10,15,32
ENSG00000231789.4,29,24,36,14,44,53
ENSG00000171603.18,586,388,479,145,572,674
ENSG00000271264.1,5,9,10,1,16,17
ENSG00000280113.2,41,40,61,20,80,102
ENSG00000178585.15,178,171,225,89,207,281
ENSG00000223989.1,0,0,0,0,0,0
ENSG00000285701.1,43,27,45,22,65,103
ENSG00000162441.12,222,254,241,67,221,270
ENSG00000228150.1,22,31,24,7,25,39
ENSG00000173614.14,290,166,294,52,159,213
ENSG00000202415.1,23,8,8,6,13,14
ENSG00000283611.2,51,36,64,16,49,60
ENSG00000265521.1,11,15,14,4,15,22
ENSG00000241326.1,0,0,0,0,0,0
ENSG00000162444.12,48,33,67,21,60,66
ENSG00000130939.20,945,607,790,232,670,766
ENSG00000224340.1,6,1,5,4,6,15
ENSG00000233623.2,47,35,42,20,49,68
ENSG00000201746.1,8,0,3,0,4,4
ENSG00000054523.20,6698,4166,7069,1425,4400,5098
ENSG00000264881.1,12,6,11,0,12,3
ENSG00000199562.1,2,5,5,0,2,7
ENSG00000264501.2,0,0,0,0,0,0
ENSG00000284735.1,74,50,66,15,60,95
ENSG00000284642.1,22,28,27,9,35,29
ENSG00000142657.21,298,207,267,81,199,277
ENSG00000271989.1,8,13,8,8,15,25
ENSG00000251503.8,22,18,18,2,32,26
ENSG00000175279.22,6,3,4,0,1,9
ENSG00000241563.4,15,4,15,12,17,31
ENSG00000160049.12,392,235,310,99,285,353
ENSG00000203469.2,0,0,0,0,0,0
ENSG00000142655.13,172,147,164,57,208,308
ENSG00000287727.1,90,65,64,32,109,162
ENSG00000243267.3,18,11,15,6,18,29
ENSG00000130940.15,568,430,444,190,516,672
ENSG00000272078.1,113,111,94,48,181,289
ENSG00000225158.2,16,10,5,4,13,15
ENSG00000175262.15,194,166,230,79,205,320
ENSG00000215785.2,29,22,28,11,24,36
ENSG00000120948.19,863,600,961,219,582,851
ENSG00000009724.18,193,174,192,88,193,350
ENSG00000116649.10,196,150,188,69,147,213
ENSG00000171824.14,346,260,295,79,330,389
ENSG00000226849.1,72,60,66,33,105,122
ENSG00000230337.3,19,24,15,7,29,55
ENSG00000198793.14,1259,810,964,351,892,1099
ENSG00000225602.5,33,18,40,9,30,47
ENSG00000253086.1,7,4,7,4,9,15
ENSG00000171819.5,99,64,97,33,98,189
ENSG00000207451.1,3,2,3,0,3,3
ENSG00000238173.1,2,1,2,0,3,9
ENSG00000120942.14,181,158,144,49,152,237
ENSG00000238199.1,16,19,19,10,24,42
ENSG00000284646.1,54,34,53,30,59,114
ENSG00000224338.2,15,14,14,8,11,21
ENSG00000204624.8,339,319,295,160,418,636
ENSG00000285833.1,6,10,8,5,11,6
ENSG00000235643.2,81,50,53,21,63,87
ENSG00000284708.1,57,59,63,36,53,118
ENSG00000116661.11,65,91,69,30,94,147
ENSG00000132879.14,156,158,130,78,164,228
ENSG00000116670.16,183,155,190,53,236,278
ENSG00000116663.11,138,95,106,58,146,161
ENSG00000162490.7,239,187,257,99,280,418
ENSG00000177674.16,134,101,111,65,183,242
ENSG00000215910.8,282,239,272,120,382,497
ENSG00000177553.6,39,50,38,20,84,73
ENSG00000177000.13,415,390,435,227,502,714
ENSG00000011021.23,388,348,351,169,506,652
ENSG00000276470.1,11,6,11,7,5,11
ENSG00000278852.1,3,5,2,0,8,10
ENSG00000175206.11,46,40,67,14,61,82
ENSG00000275915.1,0,0,0,0,0,0
ENSG00000120937.9,43,26,31,13,55,77
ENSG00000224904.1,125,100,103,59,142,181
ENSG00000285646.2,58,50,45,30,68,112
ENSG00000199347.1,0,0,0,0,0,0
ENSG00000201801.1,5,6,6,1,12,13
ENSG00000116685.17,222,146,231,80,182,232
ENSG00000083444.17,379,318,395,117,370,489
ENSG00000287384.1,14,29,22,13,30,33
ENSG00000116688.18,2208,2087,2788,517,1301,1533
ENSG00000270914.1,6,10,10,1,6,8
ENSG00000116691.11,166,160,138,77,142,261
ENSG00000202461.1,12,12,20,7,9,22
ENSG00000276869.1,0,0,0,0,0,0
ENSG00000243539.3,10,6,3,2,11,7
ENSG00000120949.15,236,211,202,104,294,419
ENSG00000201135.1,7,7,12,3,6,14
ENSG00000227875.2,10,12,13,2,10,18
ENSG00000285604.1,43,44,48,33,55,94
ENSG00000283789.1,1,5,1,0,1,4
ENSG00000028137.19,246,214,221,136,273,395
ENSG00000263676.1,5,8,8,0,3,8
ENSG00000225196.2,13,16,9,7,20,47
ENSG00000252969.1,2,7,3,0,3,6
ENSG00000048707.15,3150,1910,2435,792,1873,2254
ENSG00000239149.1,4,5,5,6,3,11
ENSG00000229484.3,58,45,60,28,82,121
ENSG00000162496.9,277,167,250,70,220,259
ENSG00000221340.1,5,7,8,1,10,13
ENSG00000276830.1,5,4,2,1,5,20
ENSG00000288927.2,23,12,20,7,23,31
ENSG00000272482.2,28,29,35,28,40,44
ENSG00000204518.3,57,59,64,37,100,131
ENSG00000226166.2,5,1,0,1,11,5
ENSG00000188984.12,76,90,104,47,152,179
ENSG00000157330.10,125,98,114,36,177,194
ENSG00000116726.5,80,68,59,40,105,140
ENSG00000116721.9,41,47,60,21,53,96
ENSG00000228338.1,12,9,9,3,13,18
ENSG00000239810.3,48,41,34,20,57,65
ENSG00000231103.2,61,47,52,28,83,104
ENSG00000179172.10,13,10,18,11,31,60
ENSG00000120952.4,36,23,56,26,76,77
ENSG00000243073.4,68,27,45,30,56,101
ENSG00000187545.5,49,36,50,20,31,84
ENSG00000204510.6,32,9,18,16,14,41
ENSG00000207434.1,1,1,0,0,0,0
ENSG00000234064.1,6,6,9,5,11,14
ENSG00000232423.6,27,22,29,10,31,51
ENSG00000274178.2,15,5,28,12,28,27
ENSG00000274764.6,32,2,38,10,26,41
ENSG00000277058.3,14,19,18,7,18,30
ENSG00000229571.7,13,13,22,6,25,43
ENSG00000277862.1,0,0,0,0,0,2
ENSG00000236179.1,39,29,35,16,51,65
ENSG00000275774.3,15,20,26,13,40,54
ENSG00000229978.2,0,0,0,0,1,0
ENSG00000290772.1,0,0,0,0,0,0
ENSG00000233336.1,0,0,0,0,0,1
ENSG00000280267.6,14,25,17,6,17,23
ENSG00000179412.11,1,1,0,0,0,3
ENSG00000204505.5,55,64,33,6,30,49
ENSG00000279169.3,11,24,0,0,10,30
ENSG00000279804.3,56,61,48,23,62,99
ENSG00000250894.1,68,46,66,26,64,123
ENSG00000270601.5,28,42,26,12,53,59
ENSG00000231219.1,3,6,3,1,4,15
ENSG00000207511.1,0,0,0,0,0,0
ENSG00000182330.11,24,23,32,6,51,54
ENSG00000237700.2,36,41,28,13,54,74
ENSG00000204501.7,59,51,59,22,67,95
ENSG00000228229.2,18,15,12,0,13,25
ENSG00000204481.8,68,30,27,15,76,83
ENSG00000204480.9,73,48,66,30,95,130
ENSG00000204479.4,69,55,58,30,87,125
ENSG00000204478.11,68,64,81,26,101,155
ENSG00000162494.6,174,108,204,44,186,170
ENSG00000259961.1,24,19,29,13,30,44
ENSG00000215909.3,15,19,13,9,21,30
ENSG00000162493.17,237,142,215,56,219,310
ENSG00000222952.1,11,12,7,9,12,14
ENSG00000237445.2,4,3,5,2,12,13
ENSG00000253085.1,14,4,11,4,8,7
ENSG00000116731.23,1045,612,875,239,725,873
ENSG00000289380.1,5,8,11,2,9,22
ENSG00000189337.17,378,274,305,147,426,581
ENSG00000252151.1,12,3,10,3,8,13
ENSG00000231606.2,54,29,53,25,55,87
ENSG00000234593.3,107,98,110,47,139,162
